"adj_rand" "est" "T" "seed"
0.3687374749499 "MinBinder" 0.7 2016
0.3687374749499 "MinBinder" 0.75 2016
0.3687374749499 "MinBinder" 0.8 2016
0.3687374749499 "MinBinder" 0.85 2016
0.489795918367347 "MinBinder" 0.9 2016
0.3687374749499 "MinBinder" 0.95 2016
0.3687374749499 "MinBinder" 1 2016
0.757281553398058 "MinBinder" 0.05 2017
0.757281553398058 "MinBinder" 0.1 2017
0.395702775290958 "MinBinder" 0.15 2017
0.395702775290958 "MinBinder" 0.2 2017
0.395702775290958 "MinBinder" 0.25 2017
0.395702775290958 "MinBinder" 0.3 2017
0.395702775290958 "MinBinder" 0.35 2017
0.395702775290958 "MinBinder" 0.4 2017
0.395702775290958 "MinBinder" 0.45 2017
0.395702775290958 "MinBinder" 0.5 2017
0.395702775290958 "MinBinder" 0.55 2017
0.395702775290958 "MinBinder" 0.6 2017
0.395702775290958 "MinBinder" 0.65 2017
0.395702775290958 "MinBinder" 0.7 2017
0.395702775290958 "MinBinder" 0.75 2017
0.395702775290958 "MinBinder" 0.8 2017
0.395702775290958 "MinBinder" 0.85 2017
0.395702775290958 "MinBinder" 0.9 2017
0.395702775290958 "MinBinder" 0.95 2017
0.395702775290958 "MinBinder" 1 2017
1 "MinBinder" 0.05 2018
1 "MinBinder" 0.1 2018
1 "MinBinder" 0.15 2018
1 "MinBinder" 0.2 2018
1 "MinBinder" 0.25 2018
1 "MinBinder" 0.3 2018
1 "MinBinder" 0.35 2018
1 "MinBinder" 0.4 2018
1 "MinBinder" 0.45 2018
1 "MinBinder" 0.5 2018
1 "MinBinder" 0.55 2018
1 "MinBinder" 0.6 2018
1 "MinBinder" 0.65 2018
1 "MinBinder" 0.7 2018
1 "MinBinder" 0.75 2018
1 "MinBinder" 0.8 2018
1 "MinBinder" 0.85 2018
1 "MinBinder" 0.9 2018
1 "MinBinder" 0.95 2018
1 "MinBinder" 1 2018
0.952178533475027 "MinBinder" 0.05 2019
0.731610337972167 "MinBinder" 0.1 2019
